Id,GeographicCode,GeographicName,CSDType,ProvinceTerritory,GeographicCodeProvinceTerritory,GeographicCodeCensusDivision,Population2016,Population2011,PopulationPercentChange,TotalPrivateDwellings2016,TotalPrivateDwellings2011,TotalPrivateDwellingsPercentChange,PrivateDwellingsOccupiedByUsualResidents2016,PrivateDwellingsOccupiedByUsualResidents2011,PrivateDwellingsOccupiedByUsualResidentsPercentChange,LandAreaInSquareKilometres2016,PopulationDensityPerSquareKilometre2016,NationalPopulationRank2016,ProvincialTerritorialPopulationRank2016
Gatineau-QC,2481017,Gatineau,Ville,Quebec,24,2481,276245,265349,4.1,125608,117769,6.7,118385,112758,5,342.8,805.8,18,4
Saskatoon-SK,4711066,Saskatoon,City,Saskatchewan,47,4711,246376,222246,10.9,107098,96283,11.2,98565,90962,8.4,228.13,1080,19,1
NaN,2458227,Longueuil,Ville,Quebec,24,2458,239700,231409,3.6,110761,106499,4,105533,102067,3.4,115.75,2070.9,20,5
NaN,3530013,Kitchener,City,Ontario,35,3530,233222,219153,6.4,95495,89603,6.6,92217,86374,6.8,136.77,1705.2,21,9
NaN,5915025,Burnaby,City,British Columbia,59,5915,232755,223218,4.3,98030,91383,7.3,92201,86839,6.2,90.61,2568.7,22,3
Windsor-ON,3537039,Windsor,City,Ontario,35,3537,217188,210891,3,97777,96483,1.3,91632,87830,4.3,146.38,1483.8,23,10
Regina-SK,4706027,Regina,City,Saskatchewan,47,4706,215106,193150,11.4,93197,83200,12,87417,79631,9.8,179.97,1195.2,24,2
NaN,5915015,Richmond,City,British Columbia,59,5915,198309,190473,4.1,77478,71170,8.9,73457,67976,8.1,129.27,1534.1,25,4
Richmond-Hill-ON,3519038,Richmond Hill,Town,Ontario,35,3519,195022,185541,5.1,66465,60169,10.5,64116,58651,9.3,101.11,1928.8,26,11
Oakville-ON,3524001,Oakville,Town,Ontario,35,3524,193832,182520,6.2,68617,63894,7.4,66269,62412,6.2,138.89,1395.6,27,12
Burlington-ON,3524002,Burlington,City,Ontario,35,3524,183314,175779,4.3,72535,69813,3.9,71373,68779,3.8,185.66,987.3,28,13
Greater-Sudbury-ON,3553005,Greater Sudbury,City,Ontario,35,3553,161531,160274,0.8,75029,72420,3.6,69152,67598,2.3,3228.35,50,29,14
NaN,2443027,Sherbrooke,Ville,Quebec,24,2443,161323,154601,4.3,80341,75880,5.9,73506,70572,4.2,353.76,456,30,6
NaN,3518013,Oshawa,City,Ontario,35,3518,159458,149607,6.6,64883,61306,5.8,62595,58797,6.5,145.64,1094.9,31,15
NaN,2494068,Saguenay,Ville,Quebec,24,2494,145949,144746,0.8,69859,66798,4.6,66246,64228,3.1,1128.56,129.3,32,7
Levis-QC,2425213,Lévis,Ville,Quebec,24,2425,143414,138769,3.3,62585,59024,6,60779,57766,5.2,449.05,319.4,33,8
Barrie-ON,3543042,Barrie,City,Ontario,35,3543,141434,136063,3.9,54227,52329,3.6,52476,50075,4.8,99.04,1428,34,16
Abbotsford-BC,5909052,Abbotsford,City,British Columbia,59,5909,141397,133497,5.9,51770,49917,3.7,49040,46452,5.6,375.55,376.5,35,5
Coquitlam-ON,5915034,Coquitlam,City,British Columbia,59,5915,139284,126804,9.8,54393,48279,12.7,51325,45733,12.2,122.3,1138.9,36,6
NaN,2437067,Trois-Rivières,Ville,Quebec,24,2437,134413,131338,2.3,67771,65528,3.4,63157,61390,2.9,289.32,464.6,37,9
NaN,3526053,St. Catharines,City,Ontario,35,3526,133113,131400,1.3,59879,59209,1.1,56873,55419,2.6,96.13,1384.8,38,17
Guelph-ON,3523008,Guelph,City,Ontario,35,3523,131794,121688,8.3,55927,52409,6.7,52090,48115,8.3,87.22,1511.1,39,18
NaN,3530010,Cambridge,City,Ontario,35,3530,129920,126748,2.5,49388,47818,3.3,48239,46460,3.8,113.01,1149.6,40,19
NaN,3518009,Whitby,Town,Ontario,35,3518,128377,122022,5.2,44195,41931,5.4,43529,41021,6.1,146.66,875.4,41,20
NaN,5935010,Kelowna,City,British Columbia,59,5935,127380,117312,8.6,57433,54760,4.9,53903,49668,8.5,211.85,601.3,42,7
NaN,3510010,Kingston,City,Ontario,35,3510,123798,123363,0.4,59977,57623,4.1,53518,52413,2.1,451.19,274.4,43,21
Ajax-ON,3518005,Ajax,Town,Ontario,35,3518,119677,109600,9.2,38105,35593,7.1,37549,35038,7.2,67,1786.4,44,22
